REF_AREA,COUNTERPART_AREA,weight
AFG,GRD,9.432175552356182e-07
AFG,GTM,8.657867092943484e-05
AFG,GUY,4.512692060646865e-05
AFG,HKG,0.0036922517322662196
AFG,HND,3.343646689816056e-05
AFG,HRV,0.00017407261042702666
AFG,HTI,8.21092633435593e-06
AFG,HUN,0.017559928131512862
AFG,IDN,0.0017785437571690027
AFG,IND,0.020575492841607913
AFG,IRL,0.003634231336333711
AFG,IRN,0.00040974017071658113
AFG,IRQ,0.0007385075082076864
AFG,ISL,5.5347500629111954e-05
AFG,ISR,0.0014756263163095713
AFG,ITA,0.0076415153017019245
AFG,JAM,0.0001652076777950312
AFG,JOR,0.00026418597760056013
AFG,JPN,0.013031348165367822
AFG,KAZ,0.002168511599252822
AFG,KEN,5.658819262073211e-05
AFG,KGZ,0.00017820711623729938
AFG,KHM,3.082627453968837e-05
AFG,KIR,7.777109447961809e-08
AFG,KNA,7.877725801444815e-06
AFG,KOR,0.003769329448831618
AFG,KWT,9.258357156194235e-05
AFG,LAO,4.428334726603504e-06
AFG,LBN,0.0007961351601130727
AFG,LBR,2.9336958080403687e-05
AFG,LBY,4.3061611978694276e-05
AFG,LCA,1.9778404499518122e-05
AFG,LKA,0.0004936303921237237
AFG,LSO,0.00013694736330382976
AFG,LTU,5.337454517603215e-05
AFG,LUX,0.0026567901249029964
AFG,LVA,0.0004949350022336193
AFG,MAC,0.0001350473182518246
AFG,MAR,0.0001221088815117889
AFG,MDA,5.612764192061063e-05
AFG,MDG,2.7941453003835038e-05
AFG,MDV,6.374872311027271e-05
AFG,MEX,0.0032838562723801253
AFG,MKD,2.0210034073880004e-05
AFG,MLI,0.00010828458339869625
AFG,MLT,0.0007527165302037828
AFG,MMR,0.00025750130899536677
AFG,MNE,2.462366520293345e-05
AFG,MNG,3.9162120694552194e-05
AFG,MOZ,4.686145904803437e-05
AFG,MRT,2.92120382598958e-05
AFG,MSR,1.224894738053985e-07
AFG,MUS,0.00020977829204130033
AFG,MWI,1.38267284597951e-05
AFG,MYS,0.0009964489529908738
AFG,NCL,0.00012677368897254446
AFG,NER,1.542735479805374e-05
AFG,NGA,0.0002219864095972384
AFG,NIC,1.2527465112644981e-05
AFG,NLD,0.02583709891200785
AFG,NOR,0.0017149559230104346
AFG,NPL,0.00010578302753782528
AFG,NZL,0.0002882758171502921
AFG,OMN,0.0007987050087162835
AFG,PAK,0.00840577840908923
AFG,PAN,3.915750303581745e-05
AFG,PER,9.705030576644516e-05
AFG,PHL,0.00018242619811281868
AFG,PNG,0.00020138120114953384
AFG,POL,0.0004211244007403757
AFG,PRK,4.720219365572321e-06
AFG,PRT,0.0023048088448137357
AFG,PRY,4.241757010253495e-05
AFG,PSE,2.248435251806834e-05
AFG,PYF,2.511034213010669e-05
AFG,QAT,0.0008088196256226984
AFG,ROU,0.0005254487341873677
AFG,RUS,0.0004034134921806642
AFG,RWA,3.415463434874578e-05
AFG,SAU,0.0023901244645618876
AFG,SCG_F,3.12282538842799e-05
AFG,SDN,0.00021775153046815296
AFG,SEN,4.1587120634294776e-05
AFG,SGP,0.004525710941862752
AFG,SLB,1.1245943296423027e-05
AFG,SLE,3.468104744450469e-06
AFG,SLV,5.9618834958734725e-05
AFG,SOM,1.1266115174053676e-05
AFG,SRB,1.722143673383043e-06
AFG,STP,7.953552618562442e-06
AFG,SUR,7.0990427179676386e-06
AFG,SVK,4.599479741392714e-05
AFG,SVN,0.0001170204646207896
AFG,SWE,0.0032498387095853992
AFG,SWZ,5.4305367963085074e-05
AFG,SYC,2.7006984696728378e-05
AFG,SYR,0.00016795639991554524
AFG,TCA,2.522699877182612e-07
AFG,TCD,8.748737756149513e-05
AFG,TGO,1.6727347249214606e-05
AFG,THA,0.002093885130371553
AFG,TJK,6.946805800523787e-05
AFG,TKM,0.0005706728686619359
AFG,TLS,3.757559036716798e-06
AFG,TON,1.1320554940189408e-06
AFG,TTO,5.783082888971426e-05
AFG,TUN,0.00018342020991413631
AFG,TUR,0.00015965044702512197
AFG,TUV,1.380436927013221e-07
AFG,TWN,0.001984838876316297
AFG,TZA,4.0186754864321154e-05
AFG,UGA,6.222854124786642e-05
AFG,UKR,0.0006956602528081515
AFG,URY,3.158041112147042e-05
AFG,USA,0.14499287319360887
AFG,UZB,0.00047497845332080877
AFG,VCT,1.5575119877565017e-05
AFG,VEN,0.00012908081709721636
AFG,VNM,0.0003042551036844809
AFG,VUT,5.103971109895186e-06
AFG,W,0.49999682043816784
AFG,WSM,1.5153211690013088e-06
AFG,WXD,0.00027529703665499515
AFG,YEM,0.0002517861056897958
AFG,ZAF,0.0008534446796351033
AFG,ZMB,0.00011559992697318532
AFG,ZWE,1.1882694132474897e-05
AGO,ABW,9.655145717800733e-05
AGO,AFG,0.00010064226007488917
AGO,AIA,5.803520767474219e-06
AGO,ALB,0.0001721285111795811
AGO,ANT_F,6.200842098647888e-05
AGO,ARE,0.005446482816246415
AGO,ARG,0.0015116038918595656
AGO,ARM,0.00012870819167968802
AGO,ATG,2.687561094398952e-05
AGO,AUS,0.008310938999651369
AGO,AUT,0.002407081449394104
AGO,AZE,0.00045274053576397873
AGO,BDI,1.578311514031286e-05
AGO,BEL,0.005900416228966533
AGO,BEN,0.00014979945407117264
AGO,BFA,0.0001343645428732073
AGO,BGD,0.0001528450973634414
AGO,BGR,0.0005022910340559185
AGO,BHR,0.0004943747351988255
AGO,BHS,0.00029786227065117213
AGO,BIH,0.00021953117361738677
AGO,BLR,0.00029008930692504017
AGO,BLZ,6.595680171501721e-05
AGO,BMU,0.00019616225208754718
AGO,BOL,9.642419018911576e-05
AGO,BRA,0.01061125184462153
AGO,BRB,0.0003801640247013649
