Country_Label,Tier_CN,Centrality,Resilience
RWA,边缘节点,0.6548223350253807,4.767429749711464
BFA,边缘节点,0.6548223350253807,4.557773381252231
SOM,边缘节点,0.649746192893401,4.93267082845099
VEN,边缘节点,0.6395939086294415,4.164365898409058
SDN,边缘节点,0.6243654822335025,6.245295985596748
ABW,边缘节点,0.6142131979695431,5.500126055916157
LCA,边缘节点,0.6142131979695431,4.036971974858656
TTO,边缘节点,0.6091370558375634,4.204881487344912
GIN,边缘节点,0.6091370558375634,5.422247213167519
BEN,边缘节点,0.5939086294416244,5.159837152589684
GMB,边缘节点,0.5939086294416244,4.820140058009587
SUR,边缘节点,0.5939086294416244,5.489297943603994
SWZ,边缘节点,0.5888324873096447,3.1572676048667527
GUY,边缘节点,0.583756345177665,4.697045542064116
SLE,边缘节点,0.5583756345177665,3.487034553337812
MOZ,边缘节点,0.5532994923857868,3.585926345402776
FRO,边缘节点,0.5482233502538071,2.682632019057738
LAO,边缘节点,0.5482233502538071,3.320692028567505
ERI,边缘节点,0.5482233502538071,5.684605166254704
SYR,边缘节点,0.5431472081218274,4.234158169264386
NCL,边缘节点,0.5380710659898477,5.099501360555642
GRD,边缘节点,0.5380710659898477,2.411193317961656
GNB,边缘节点,0.532994923857868,3.86850030297557
BOL,边缘节点,0.5126903553299492,3.576673362229464
COM,边缘节点,0.5025380710659898,3.573656673636214
HTI,边缘节点,0.4974619289340101,2.7052578120413635
PYF,边缘节点,0.4974619289340101,5.158917229388655
SXM,边缘节点,0.4873096446700507,3.3405702284703365
VCT,边缘节点,0.4619289340101522,3.656626143882973
FJI,边缘节点,0.4517766497461928,4.212327474771665
ZWE,边缘节点,0.4467005076142131,2.740398410503145
COD,边缘节点,0.4467005076142131,5.64909835264123
CAF,边缘节点,0.4416243654822335,4.420800739029719
BRN,边缘节点,0.4314720812182741,3.748431521087082
WSM,边缘节点,0.3857868020304568,6.315304721152005
STP,边缘节点,0.3451776649746192,3.206088945522206
BTN,边缘节点,0.3248730964467005,5.415020426275674
SLB,边缘节点,0.3248730964467005,6.232805690724772
TON,边缘节点,0.2893401015228426,2.6929761305891238
VUT,边缘节点,0.248730964467005,4.974502146155209
MSR,边缘节点,0.182741116751269,2.732005379408068
LSO,边缘节点,0.1675126903553299,4.152976898386784
KIR,边缘节点,0.1675126903553299,3.116957688085655
TUV,边缘节点,0.131979695431472,3.0953749101414934
TLS,边缘节点,0.1167512690355329,2.5012965704057617
