REF_AREA,TIME_PERIOD,Degree,Trend,Cycle
BRA,2010,0.925,0.9344106618024679,-0.009410661802467857
BRA,2011,0.96,0.9453352810571529,0.014664718942847044
BRA,2012,0.96,0.9523759728586241,0.007624027141375889
BRA,2013,0.955,0.9559182723507034,-0.0009182723507034085
BRA,2014,0.95,0.9575675590198329,-0.00756755901983297
BRA,2015,0.96,0.9587822887763425,0.0012177112236574361
BRA,2016,0.96,0.9598101080873893,0.0001898919126106513
BRA,2017,0.96,0.9610934972159155,-0.001093497215915562
BRA,2018,0.96,0.9631053191308814,-0.003105319130881412
BRA,2019,0.965,0.9661434772467011,-0.0011434772467011634
BRA,2020,0.97,0.9700090239168488,-9.023916848871494e-06
BRA,2021,0.975,0.9743200551353255,0.0006799448646744866
BRA,2022,0.98,0.9786932230694362,0.0013067769305638022
BRA,2023,0.985,0.9828539710648337,0.0021460289351662443
BRA,2024,0.985,0.9867368267760617,-0.001736826776061684
BRB,2005,0.645,0.6456137666446807,-0.0006137666446807133
BRB,2006,0.665,0.6513597177067038,0.01364028229329628
BRB,2007,0.64,0.6570074661055778,-0.017007466105577795
BRB,2008,0.675,0.6646412543450814,0.010358745654918677
BRB,2009,0.67,0.6736241303521004,-0.0036241303521004076
BRB,2010,0.67,0.6849765413583085,-0.014976541358308504
BRB,2011,0.695,0.699139073739043,-0.004139073739043098
BRB,2012,0.715,0.7141560672523118,0.0008439327476881253
BRB,2013,0.74,0.727409609857876,0.012590390142124042
BRB,2014,0.75,0.7364168187551265,0.013583181244873455
BRB,2015,0.75,0.7407092735661946,0.009290726433805352
BRB,2016,0.72,0.7419918629123909,-0.02199186291239097
BRB,2017,0.755,0.7434559916444354,0.011544008355564572
BRB,2018,0.74,0.7447743665470657,-0.004774366547065756
BRB,2019,0.765,0.7474667357419102,0.017533264258089765
BRB,2020,0.725,0.7522889487030665,-0.02728894870306653
BRB,2021,0.75,0.7628021771859262,-0.012802177185926245
BRB,2022,0.785,0.7782013611533907,0.006798638846609362
